"","club.to","name","transfer.date","club.from","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","searchresults","league","Status"
"237","Granada CF","José Angulo","2016/8/10","Independiente",3.42,"
                                Attacker                            ","Ecuador","San Lorenzo",31,10,3,5,5,3,0,0,0,233,2325,NA,"1995/2/3",21.5167693360712,9110,"La Liga","Bottom Club"
"238","Granada CF","Mehdi Carcela-González","2016/8/31","Benfica",3.4,"
                                Attacker                            ","Morocco","Liège",29,3,7,18,18,2,0,0,0,437,1311,33.9383983572895,"1989/7/1",27.1676933607118,1760,"La Liga","Bottom Club"
"239","Guingamp","Alexandre Mendy","2016/7/1","OGC Nice",0,"
                                Attacker                            ","France","Toulon",21,6,0,15,15,0,0,0,0,108,648,NA,"1994/3/20",22.2833675564682,1900,"Ligue 1","Bottom Club"
"240","Hamburger SV","Douglas Santos","2016/8/31","Atlético-MG",6.38,"
                                Defender                            ","Brazil","João Pessoa",19,0,1,0,0,1,0,0,0,NA,1710,27.9917864476386,"1994/3/22",22.444900752909,4670,"Bundesliga","Middle Club"
"241","Hamburger SV","Filip Kostic","2016/7/25","VfB Stuttgart",11.9,"
                                Attacker                            ","Serbia","Kragujevac",33,5,8,0,0,5,0,0,1,580,2899,35.1540041067762,"1992/11/1",23.7289527720739,5020,"Bundesliga","Middle Club"
"242","Hamburger SV","Bobby Wood","2016/7/1","Union Berlin",2.98,"
                                Attacker                            ","United States","Honolulu, Hawaii",32,17,3,1,1,5,0,0,2,153,2595,23.9507186858316,"1992/11/15",23.6249144421629,101000,"Bundesliga","Middle Club"
"243","Hamburger SV","Luca Waldschmidt","2016/7/1","E. Frankfurt",1.11,"
                                Attacker                            ","Germany","Siegen",14,1,1,14,14,0,0,0,0,298,298,11.958932238193,"1996/5/19",20.1177275838467,355,"Bundesliga","Middle Club"
"244","Hamburger SV","Arianit Ferati","2016/7/1","VfB Stuttgart",0.723,"
                                Midfield                            ","Germany","Stuttgart",21,3,3,7,7,3,0,0,0,465,1394,47.9671457905544,"1997/9/7",18.8145106091718,405,"Bundesliga","Middle Club"
"245","Hamburger SV","Alen Halilovic","2016/7/21","FC Barcelona",4.25,"
                                Midfield                            ","Croatia","Dubrovnik",37,5,5,13,13,6,0,0,1,478,2390,35.2854209445585,"1996/6/18",20.0903490759754,22700,"Bundesliga","Middle Club"
"246","Hertha BSC","Ondrej Duda","2016/7/20","Legia Warszawa",3.57,"
                                Midfield                            ","Slovakia","Snina",43,5,9,12,12,11,0,0,1,582,2909,35.3182751540041,"1994/12/5",21.6235455167693,16100,"Bundesliga","Middle Club"
